  TIME     ,002-nPart-Spec-001     ,003-nPart-Spec-002     ,004-nPart-Spec-003     ,005-nPart-Spec-004     ,006-nPart-Spec-005     ,007-nPartIn-Spec-001     ,008-nPartIn-Spec-002     ,009-nPartIn-Spec-003     ,010-nPartIn-Spec-004     ,011-nPartOut-Spec-001     ,012-nPartOut-Spec-002     ,013-nPartOut-Spec-003     ,014-nPartOut-Spec-004     ,015-W-El      ,016 -W-Mag    ,017-Ekin-001     ,018-Ekin-002     ,019-Ekin-003     ,020-Ekin-004     ,021-Ekin-005     ,022 -TempTra-001     ,023 -TempTra-002     ,024 -TempTra-003     ,025 -TempTra-004     ,026 -TempTra-005     ,027 Velo_Xtrans001     ,028 Velo_Xtherm001     ,029 Velo_Ytrans001     ,030 Velo_Ytherm001     ,031 Velo_Ztrans001     ,032 Velo_Ztherm001     ,033 AbsVelo_trans001     ,034 AbsVelo_therm001     ,035 Velo_Xtrans002     ,036 Velo_Xtherm002     ,037 Velo_Ytrans002     ,038 Velo_Ytherm002     ,039 Velo_Ztrans002     ,040 Velo_Ztherm002     ,041 AbsVelo_trans002     ,042 AbsVelo_therm002     ,043 Velo_Xtrans003     ,044 Velo_Xtherm003     ,045 Velo_Ytrans003     ,046 Velo_Ytherm003     ,047 Velo_Ztrans003     ,048 Velo_Ztherm003     ,049 AbsVelo_trans003     ,050 AbsVelo_therm003     ,051 Velo_Xtrans004     ,052 Velo_Xtherm004     ,053 Velo_Ytrans004     ,054 Velo_Ytherm004     ,055 Velo_Ztrans004     ,056 Velo_Ztherm004     ,057 AbsVelo_trans004     ,058 AbsVelo_therm004     ,059-EkinIn-001     ,060-EkinIn-002     ,061-EkinIn-003     ,062-EkinIn-004     ,063-EkinOut-001     ,064-EkinOut-002     ,065-EkinOut-003     ,066-EkinOut-004     ,067-EVib001     ,068-EVib002     ,069-EVib003     ,070-EVib004     ,071-ERot001     ,072-ERot002     ,073-ERot003     ,074-ERot004     ,075-EElec001     ,076-EElec002     ,077-EElec003     ,078-EElec004     ,079-TempVib001     ,080-TempVib002     ,081-TempVib003     ,082-TempVib004     ,083-XiVibMean001     ,084-XiVibMean002     ,085-XiVibMean003     ,086-XiVibMean004     ,087-TempRot001     ,088-TempRot002     ,089-TempRot003     ,090-TempRot004     ,091-TempTotal001     ,092-TempTotal002     ,093-TempTotal003     ,094-TempTotal004     ,095-TempTotal005     ,096-TempElec001     ,097-TempElec002     ,098-TempElec003     ,099-TempElec004     ,100-Pmean     ,101-Pmax      
    0.00000000000000E+000,    0.00000000000000E+000,    0.40120000000000E+004,    0.40120000000000E+004,    0.00000000000000E+000,    0.80240000000000E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.24925415979388E-013,    0.24921594323274E-015,    0.00000000000000E+000,    0.25174631922621E-013,    0.00000000000000E+000,    0.29998449567991E+005,    0.29994259121008E+003,    0.00000000000000E+000,    0.15149196079600E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.52230204209492E-012,    0.68571511304867E+006,    0.42712700331318E-010,    0.66425111018760E+006,    0.29016780116385E-011,    0.67272963827255E+006,    0.42814335266350E-010,    0.11679040713428E+007,   -0.24369561425870E-013,    0.79858731862561E+003,    0.36412658642143E-013,    0.77375054854755E+003,    0.10257885158331E-013,    0.79561592855782E+003,    0.44999793792861E-013,    0.13672733167228E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.29998449567991E+005,    0.29994259121008E+003,    0.00000000000000E+000,    0.15149196079600E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000 
    0.45800000000000E-010,    0.00000000000000E+000,    0.40100000000000E+004,    0.40120000000000E+004,    0.00000000000000E+000,    0.80220000000000E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.20000000000000E+001,    0.00000000000000E+000,    0.00000000000000E+000,    0.68412549449860E-014,    0.00000000000000E+000,    0.00000000000000E+000,    0.24927721603399E-013,    0.24922548196838E-015,    0.00000000000000E+000,    0.25176947085367E-013,    0.00000000000000E+000,    0.30015593780183E+005,    0.29995406894016E+003,    0.00000000000000E+000,    0.15154069656335E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,   -0.19677732166990E+004,    0.68345462817017E+006,    0.19163679955426E+004,    0.66706913877857E+006,   -0.44089535809772E+004,    0.67282091644307E+006,    0.51945615220064E+004,    0.11682377541756E+007,   -0.10870621690477E+000,    0.79858652823659E+003,   -0.93302556100790E-001,    0.77374827111408E+003,   -0.77765628364336E-001,    0.79566389206145E+003,    0.16300276538632E+000,    0.13672994768021E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.96532917029150E-017,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.30015593780183E+005,    0.29995406894016E+003,    0.00000000000000E+000,    0.15154069656335E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.30184669045829E-002,    0.13701486377440E-001 
    0.91600000000000E-010,    0.00000000000000E+000,    0.40080000000000E+004,    0.40120000000000E+004,    0.00000000000000E+000,    0.80200000000000E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.20000000000000E+001,    0.00000000000000E+000,    0.00000000000000E+000,    0.68397136763422E-014,    0.00000000000000E+000,    0.00000000000000E+000,    0.24975833090116E-013,    0.24917965696432E-015,    0.00000000000000E+000,    0.25225012747080E-013,    0.00000000000000E+000,    0.30088667547515E+005,    0.29989891770266E+003,    0.00000000000000E+000,    0.15186854612003E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.26624211182445E+003,    0.68543102573607E+006,    0.42971773083140E+004,    0.66641729331866E+006,   -0.15052154573869E+004,    0.67392458223958E+006,    0.45609528888550E+004,    0.11696589427789E+007,   -0.87376966457689E-001,    0.79869010732863E+003,   -0.36607831743646E+000,    0.77353776451416E+003,    0.19093136541883E+000,    0.79554859084060E+003,    0.42202233953330E+000,    0.13671737713483E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.16474464832115E-016,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.30088667547515E+005,    0.29989891770266E+003,    0.00000000000000E+000,    0.15186854612003E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.29914031083625E-002,    0.13835941961388E-001 
    0.13740000000000E-009,    0.00000000000000E+000,    0.40080000000000E+004,    0.40120000000000E+004,    0.00000000000000E+000,    0.80200000000000E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.68220329087850E-014,    0.00000000000000E+000,    0.00000000000000E+000,    0.25083490905186E-013,    0.24927302876524E-015,    0.00000000000000E+000,    0.25332763933951E-013,    0.00000000000000E+000,    0.30218794698612E+005,    0.30001121233112E+003,    0.00000000000000E+000,    0.15251941912208E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,   -0.90961091465364E+003,    0.68904963917764E+006,    0.60865689074234E+003,    0.66752599433229E+006,   -0.17292795902481E+002,    0.67352686457342E+006,    0.10946023330394E+004,    0.11721854783533E+007,   -0.71083838426717E-001,    0.79883537041191E+003,   -0.70492290120907E+000,    0.77376404912833E+003,    0.80142171654240E-001,    0.79562256196578E+003,    0.71301611230879E+000,    0.13674297107543E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.30218794698612E+005,    0.30001121233112E+003,    0.00000000000000E+000,    0.15251941912208E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.29758162443978E-002,    0.13963497982311E-001 
    0.18320000000000E-009,    0.00000000000000E+000,    0.40080000000000E+004,    0.40120000000000E+004,    0.00000000000000E+000,    0.80200000000000E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.68001343541606E-014,    0.00000000000000E+000,    0.00000000000000E+000,    0.25230470463783E-013,    0.24943583636139E-015,    0.00000000000000E+000,    0.25479906300145E-013,    0.00000000000000E+000,    0.30395748036944E+005,    0.30020711789901E+003,    0.00000000000000E+000,    0.15340472454998E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.13169358361641E+003,    0.69741093207385E+006,   -0.43159348605413E+003,    0.66629993854531E+006,    0.24833386776478E+004,    0.67210644482686E+006,    0.25240022038563E+004,    0.11756124741850E+007,   -0.32288552876969E+000,    0.79930984926455E+003,   -0.61877016420101E+000,    0.77380702178306E+003,   -0.14919704856691E+000,    0.79587152357146E+003,    0.71371656846069E+000,    0.13678760996976E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.30395748036944E+005,    0.30020711789901E+003,    0.00000000000000E+000,    0.15340472454998E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.29928757600877E-002,    0.14092500605679E-001 
    0.22900000000000E-009,    0.00000000000000E+000,    0.40080000000000E+004,    0.40120000000000E+004,    0.00000000000000E+000,    0.80200000000000E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.67873963601228E-014,    0.00000000000000E+000,    0.00000000000000E+000,    0.25425381805592E-013,    0.24939406204980E-015,    0.00000000000000E+000,    0.25674775867642E-013,    0.00000000000000E+000,    0.30630291259257E+005,    0.30015676843143E+003,    0.00000000000000E+000,    0.15457660389283E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,   -0.26602224803782E+004,    0.70524811972058E+006,   -0.17873896235945E+003,    0.66629640873487E+006,    0.33794542064102E+004,    0.67186555487570E+006,    0.43045838352852E+004,    0.11801394572214E+007,   -0.65381392161595E+000,    0.79934609098571E+003,   -0.68064474955911E+000,    0.77384416888059E+003,   -0.28065411066022E+000,    0.79560181169736E+003,    0.98464036532720E+000,    0.13677613876919E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.30630291259257E+005,    0.30015676843143E+003,    0.00000000000000E+000,    0.15457660389283E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.29718400761844E-002,    0.14225879167934E-001 
    0.27480000000000E-009,    0.00000000000000E+000,    0.40080000000000E+004,    0.40120000000000E+004,    0.00000000000000E+000,    0.80200000000000E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.67577870301334E-014,    0.00000000000000E+000,    0.00000000000000E+000,    0.25668048987713E-013,    0.24944302171429E-015,    0.00000000000000E+000,    0.25917492009427E-013,    0.00000000000000E+000,    0.30921863295277E+005,    0.30021572451579E+003,    0.00000000000000E+000,    0.15603403188807E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,   -0.61483825736130E+004,    0.71399854644648E+006,   -0.12462406961908E+004,    0.66732298983206E+006,    0.37673703413267E+004,    0.67147057594379E+006,    0.73177047926968E+004,    0.11857430714300E+007,   -0.60657176029587E+000,    0.79957590361556E+003,   -0.68064474957187E+000,    0.77384416888058E+003,   -0.28065411069853E+000,    0.79560181169733E+003,    0.95392520952126E+000,    0.13678957073290E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.30921863295277E+005,    0.30021572451579E+003,    0.00000000000000E+000,    0.15603403188807E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.29856951245244E-002,    0.14352844325147E-001 
    0.32060000000000E-009,    0.00000000000000E+000,    0.40080000000000E+004,    0.40120000000000E+004,    0.00000000000000E+000,    0.80200000000000E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.67289137926633E-014,    0.00000000000000E+000,    0.00000000000000E+000,    0.25953520659467E-013,    0.24958713460202E-015,    0.00000000000000E+000,    0.26203107794069E-013,    0.00000000000000E+000,    0.31264936210463E+005,    0.30038903408245E+003,    0.00000000000000E+000,    0.15774940790059E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,   -0.88728955222392E+004,    0.72344127915435E+006,   -0.78493690654601E+003,    0.66928081942939E+006,    0.34949109568903E+004,    0.67103034130139E+006,    0.95686364489630E+004,    0.11923027378093E+007,   -0.91652341669367E+000,    0.79969802500813E+003,   -0.92512697876623E+000,    0.77434211734356E+003,   -0.15563181469839E-001,    0.79567342396491E+003,    0.13023506873367E+001,    0.13682904821338E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.31264936210463E+005,    0.30038903408245E+003,    0.00000000000000E+000,    0.15774940790059E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.29656757405224E-002,    0.14485378053198E-001 
    0.36640000000000E-009,    0.00000000000000E+000,    0.40080000000000E+004,    0.40120000000000E+004,    0.00000000000000E+000,    0.80200000000000E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.67065828755834E-014,    0.00000000000000E+000,    0.00000000000000E+000,    0.26276205585896E-013,    0.24968820946309E-015,    0.00000000000000E+000,    0.26525893795360E-013,    0.00000000000000E+000,    0.31653518603535E+005,    0.30051068414955E+003,    0.00000000000000E+000,    0.15969195938625E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,   -0.84510508525088E+004,    0.73448504033307E+006,   -0.31457041631221E+004,    0.66933706132952E+006,    0.41713034578450E+004,    0.67214128029037E+006,    0.99355668047174E+004,    0.11996892417675E+007,   -0.10665435661940E+001,    0.79989267081287E+003,   -0.75825768653892E+000,    0.77457892749668E+003,   -0.29482045779049E+000,    0.79572372447631E+003,    0.13414130609611E+001,    0.13685675158488E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.31653518603535E+005,    0.30051068414955E+003,    0.00000000000000E+000,    0.15969195938625E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.29647881312754E-002,    0.14627658557251E-001 
    0.41220000000000E-009,    0.00000000000000E+000,    0.40080000000000E+004,    0.40120000000000E+004,    0.00000000000000E+000,    0.80200000000000E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.66791300364054E-014,    0.00000000000000E+000,    0.00000000000000E+000,    0.26639202904142E-013,    0.24975608081974E-015,    0.00000000000000E+000,    0.26888958984962E-013,    0.00000000000000E+000,    0.32091064235376E+005,    0.30059238799502E+003,    0.00000000000000E+000,    0.16187900513220E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,   -0.83049700705441E+004,    0.74684817756938E+006,   -0.38098137376545E+004,    0.67101290900312E+006,    0.20603180241884E+004,    0.67164612768446E+006,    0.93665425290792E+004,    0.12079524184425E+007,   -0.98887924046174E+000,    0.80021091973052E+003,   -0.75825768651276E+000,    0.77457892749671E+003,   -0.29482045779831E+000,    0.79572372447633E+003,    0.12805295676822E+001,    0.13687535485515E+004,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.32091064235376E+005,    0.30059238799502E+003,    0.00000000000000E+000,    0.16187900513220E+005,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.00000000000000E+000,    0.29812563321396E-002,    0.14759381135385E-001 
