001-TIME,002-Massflow-Spec-001-SF-001,003-Pressure-Spec-001-SF-001,004-Massflow-Spec-001-SF-002,005-Pressure-Spec-001-SF-002
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.1000000000000000E-005,-.1514390394640000E-012,0.2428434441204059E+001,0.1504448798720000E-012,0.2450974142764024E+001
0.2000000000000000E-005,0.3504053899199995E-013,0.2433398351274898E+001,-.1036561481600000E-013,0.2466687842993157E+001
0.3000000000000000E-005,0.3757402532800000E-013,0.2450350339583188E+001,-.3678815571999996E-013,0.2475222779839310E+001
0.4000000000000000E-005,0.3697944244000000E-013,0.2469787098567658E+001,-.3805436753599996E-013,0.2485332253082391E+001
0.5000000000000000E-005,0.3581950102400008E-013,0.2485068471105100E+001,-.3612768518400003E-013,0.2491090148385563E+001
0.6000000000000001E-005,0.3604373156800000E-013,0.2499835926012313E+001,-.3636254276800001E-013,0.2499736531633651E+001
0.7000000000000002E-005,0.3572598307200004E-013,0.2513833158235863E+001,-.3729931634400000E-013,0.2509323941699406E+001
0.8000000000000001E-005,0.3588113785600002E-013,0.2521955199785575E+001,-.3675893135999998E-013,0.2515997492247393E+001
0.9000000000000002E-005,0.3526370683199998E-013,0.2528906333561088E+001,-.3706711552000003E-013,0.2523246810707983E+001
0.1000000000000000E-004,0.3631844055200015E-013,0.2532730231889118E+001,-.3605754672000009E-013,0.2528504262853923E+001
0.1100000000000000E-004,0.3504000764000005E-013,0.2537248773135926E+001,-.3576530312000003E-013,0.2535430630476885E+001
0.1200000000000000E-004,0.3559473912799995E-013,0.2537624050102286E+001,-.3668241667199998E-013,0.2540091126305249E+001
0.1300000000000000E-004,0.3517603375200001E-013,0.2544220673636436E+001,-.3637795197599998E-013,0.2541132886489247E+001
0.1400000000000000E-004,0.3621110744800005E-013,0.2548450554050229E+001,-.3752142148000004E-013,0.2543216238243706E+001
0.1500000000000000E-004,0.3553735311200003E-013,0.2551980079643670E+001,-.3731685095999996E-013,0.2541232312376600E+001
0.1600000000000000E-004,0.3588379461600000E-013,0.2555823767742327E+001,-.3661971713599999E-013,0.2541926799018673E+001
0.1700000000000000E-004,0.3474935809599996E-013,0.2556514773455194E+001,-.3453150377599997E-013,0.2545220968968910E+001
0.1800000000000000E-004,0.3561546185600007E-013,0.2555132843729926E+001,-.3602619695199999E-013,0.2544627252672961E+001
0.1899999999999999E-004,0.3467550016800000E-013,0.2551078840879768E+001,-.3544914867999999E-013,0.2544703045064990E+001
0.2000000000000000E-004,0.3534340963199940E-013,0.2546823273838170E+001,-.3514415263199941E-013,0.2548774471246219E+001
